풋살인구,시간대,행정동명
1683.4231,0,서울특별시 강남구 개포1동
1694.0276,1,서울특별시 강남구 개포1동
1663.165,2,서울특별시 강남구 개포1동
1690.339,3,서울특별시 강남구 개포1동
1694.0927,4,서울특별시 강남구 개포1동
1864.0209,5,서울특별시 강남구 개포1동
2311.6106,6,서울특별시 강남구 개포1동
2116.9275,7,서울특별시 강남구 개포1동
1741.6259,8,서울특별시 강남구 개포1동
1615.1142,9,서울특별시 강남구 개포1동
1547.2699,10,서울특별시 강남구 개포1동
1434.1634,11,서울특별시 강남구 개포1동
1461.0711,12,서울특별시 강남구 개포1동
1374.7958,13,서울특별시 강남구 개포1동
1362.026,14,서울특별시 강남구 개포1동
1329.7112,15,서울특별시 강남구 개포1동
1265.1211,16,서울특별시 강남구 개포1동
1180.3998,17,서울특별시 강남구 개포1동
1308.4835,18,서울특별시 강남구 개포1동
1327.686,19,서울특별시 강남구 개포1동
1421.1085,20,서울특별시 강남구 개포1동
1578.9415,21,서울특별시 강남구 개포1동
1656.9455,22,서울특별시 강남구 개포1동
1683.7465,23,서울특별시 강남구 개포1동
6343.4255,0,서울특별시 강남구 개포2동
6536.8431,1,서울특별시 강남구 개포2동
6603.0376,2,서울특별시 강남구 개포2동
6650.666,3,서울특별시 강남구 개포2동
6627.8153,4,서울특별시 강남구 개포2동
6689.2421,5,서울특별시 강남구 개포2동
6682.7992,6,서울특별시 강남구 개포2동
6390.2884,7,서울특별시 강남구 개포2동
5179.9187,8,서울특별시 강남구 개포2동
4828.9019,9,서울특별시 강남구 개포2동
4471.704,10,서울특별시 강남구 개포2동
4326.8172,11,서울특별시 강남구 개포2동
4231.0105,12,서울특별시 강남구 개포2동
4188.8689,13,서울특별시 강남구 개포2동
4140.7223,14,서울특별시 강남구 개포2동
4064.5852,15,서울특별시 강남구 개포2동
4110.6369,16,서울특별시 강남구 개포2동
4186.0992,17,서울특별시 강남구 개포2동
4556.9413,18,서울특별시 강남구 개포2동
4918.9737,19,서울특별시 강남구 개포2동
5327.9105,20,서울특별시 강남구 개포2동
5725.2292,21,서울특별시 강남구 개포2동
5976.0282,22,서울특별시 강남구 개포2동
6146.1405,23,서울특별시 강남구 개포2동
3611.9645,0,서울특별시 강남구 개포3동
3598.0351,1,서울특별시 강남구 개포3동
3667.2161,2,서울특별시 강남구 개포3동
3594.5082,3,서울특별시 강남구 개포3동
3666.6277,4,서울특별시 강남구 개포3동
3725.4153,5,서울특별시 강남구 개포3동
3761.998,6,서울특별시 강남구 개포3동
3782.2535,7,서울특별시 강남구 개포3동
3414.4917,8,서울특별시 강남구 개포3동
3069.4621,9,서울특별시 강남구 개포3동
3029.0658,10,서울특별시 강남구 개포3동
2980.3634,11,서울특별시 강남구 개포3동
3086.1377,12,서울특별시 강남구 개포3동
3077.9525,13,서울특별시 강남구 개포3동
3228.6003,14,서울특별시 강남구 개포3동
3204.4239,15,서울특별시 강남구 개포3동
3047.156,16,서울특별시 강남구 개포3동
2913.0532,17,서울특별시 강남구 개포3동
3025.6787,18,서울특별시 강남구 개포3동
3095.713,19,서울특별시 강남구 개포3동
3194.1932,20,서울특별시 강남구 개포3동
3360.0252,21,서울특별시 강남구 개포3동
3517.6221,22,서울특별시 강남구 개포3동
3510.4005,23,서울특별시 강남구 개포3동
3685.4781,0,서울특별시 강남구 개포4동
3678.1183,1,서울특별시 강남구 개포4동
3686.8762,2,서울특별시 강남구 개포4동
3672.8105,3,서울특별시 강남구 개포4동
3653.6287,4,서울특별시 강남구 개포4동
3688.9207,5,서울특별시 강남구 개포4동
3734.6293,6,서울특별시 강남구 개포4동
3782.999,7,서울특별시 강남구 개포4동
3854.6988,8,서울특별시 강남구 개포4동
3811.4684,9,서울특별시 강남구 개포4동
3766.0569,10,서울특별시 강남구 개포4동
3754.4673,11,서울특별시 강남구 개포4동
3865.6717,12,서울특별시 강남구 개포4동
3689.1451,13,서울특별시 강남구 개포4동
3608.1937,14,서울특별시 강남구 개포4동
3599.5278,15,서울특별시 강남구 개포4동
3502.1,16,서울특별시 강남구 개포4동
3329.5403,17,서울특별시 강남구 개포4동
3137.0706,18,서울특별시 강남구 개포4동
3041.5217,19,서울특별시 강남구 개포4동
3086.5336,20,서울특별시 강남구 개포4동
3096.5633,21,서울특별시 강남구 개포4동
3092.0596,22,서울특별시 강남구 개포4동
3609.1941,23,서울특별시 강남구 개포4동
11753.3074,0,서울특별시 강남구 논현1동
11506.6911,1,서울특별시 강남구 논현1동
11343.0692,2,서울특별시 강남구 논현1동
11225.514,3,서울특별시 강남구 논현1동
11258.6451,4,서울특별시 강남구 논현1동
11053.8742,5,서울특별시 강남구 논현1동
11479.9519,6,서울특별시 강남구 논현1동
13145.8574,7,서울특별시 강남구 논현1동
16239.3435,8,서울특별시 강남구 논현1동
19013.82,9,서울특별시 강남구 논현1동
20022.1659,10,서울특별시 강남구 논현1동
20811.4246,11,서울특별시 강남구 논현1동
20765.5492,12,서울특별시 강남구 논현1동
21333.6407,13,서울특별시 강남구 논현1동
21347.3468,14,서울특별시 강남구 논현1동
21487.2067,15,서울특별시 강남구 논현1동
21608.1119,16,서울특별시 강남구 논현1동
21469.6721,17,서울특별시 강남구 논현1동
20193.2105,18,서울특별시 강남구 논현1동
17865.0073,19,서울특별시 강남구 논현1동
16620.285,20,서울특별시 강남구 논현1동
15311.6572,21,서울특별시 강남구 논현1동
13677.2469,22,서울특별시 강남구 논현1동
12271.366,23,서울특별시 강남구 논현1동
10105.7845,0,서울특별시 강남구 논현2동
9977.9617,1,서울특별시 강남구 논현2동
9762.4248,2,서울특별시 강남구 논현2동
9675.8307,3,서울특별시 강남구 논현2동
9643.6831,4,서울특별시 강남구 논현2동
9572.9759,5,서울특별시 강남구 논현2동
10139.2627,6,서울특별시 강남구 논현2동
11843.8232,7,서울특별시 강남구 논현2동
16665.6153,8,서울특별시 강남구 논현2동
20704.5172,9,서울특별시 강남구 논현2동
22652.2213,10,서울특별시 강남구 논현2동
23836.4258,11,서울특별시 강남구 논현2동
24550.1857,12,서울특별시 강남구 논현2동
25015.8221,13,서울특별시 강남구 논현2동
25302.1329,14,서울특별시 강남구 논현2동
25085.786,15,서울특별시 강남구 논현2동
24754.6739,16,서울특별시 강남구 논현2동
23822.522,17,서울특별시 강남구 논현2동
20444.4178,18,서울특별시 강남구 논현2동
17125.9583,19,서울특별시 강남구 논현2동
15368.2226,20,서울특별시 강남구 논현2동
13265.2199,21,서울특별시 강남구 논현2동
11886.8551,22,서울특별시 강남구 논현2동
11099.9504,23,서울특별시 강남구 논현2동
4293.6404,0,서울특별시 강남구 대치1동
4292.5091,1,서울특별시 강남구 대치1동
4279.4904,2,서울특별시 강남구 대치1동
4245.8949,3,서울특별시 강남구 대치1동
4323.8868,4,서울특별시 강남구 대치1동
4255.7821,5,서울특별시 강남구 대치1동
4029.6743,6,서울특별시 강남구 대치1동
